Verslóritgerðir	Verslóritgerð	nvfn-s
,	,	pk
svo	svo	aa
lengi	lengi	aa
sem	sem	c
þeir	hann	fpkfn
eru	vera	sfg3fn
ekki	ekki	aa
of	of	aa
margir	margur	lkfnsf
.	.	pl

Það	það	fphen
verða	verða	sfg3fn
að	að	cn
vera	vera	sng
einhver	einhver	fohfn
takmörk	takmark	nhfn
eins	eins	aa
og	og	c
í	í	af
öllu	allur	foheþ
öðru	annar	foheþ
.	.	pl

Það	það	fphen
myndi	munu	svg3eþ
heldur	heldur	aam
ekki	ekki	aa
skemma	skemma	sng
fyrir	fyrir	aa
ef	ef	c
enskukunnátta	enskukunnátta	nven
væri	vera	svg3eþ
sett	setja	sþgven
sem	sem	c
skilyrði	skilyrði	nhen
ef	ef	c
sótt	sækja	sþghen
væri	vera	svg3eþ
eftir	eftir	af
vinnu	vinna	nveþ
hér	hér	aa
á	á	af
landi	land	nheþ
.	.	pl

Ef	ef	c
svo	svo	aa
innflytjendur	innflytjandi	nkfn
ætla	ætla	sfg3fn
að	að	cn
dvelja	dvelja	sng
hér	hér	aa
í	í	af
nokkur	nokkur	fohfo
ár	ár	nhfo
á	eiga	sfg3en
ríkið	ríki	nheng
að	að	cn
borga	borga	sng
fyrir	fyrir	af
þá	hann	fpkfo
íslenskunámskeið	íslenskunámskeið	nheo
.	.	pl

Bara	bara	aa
það	það	fphen
eitt	einn	lhensf
að	að	cn
geta	geta	sng
átt	eiga	sþghen
samskipti	samskipti	nhfo
við	við	af
innflytjendur	innflytjandi	nkfo
myndi	munu	svg3eþ
draga	draga	sng
verulega	verulega	aa
úr	úr	af
fordómum	fordómur	nkfþ
í	í	af
garð	garður	nkeo
þeirra	hann	fpkfe
.	.	pl

Önnur	annar	foven
ástæða	ástæða	nven
fyrir	fyrir	af
þessum	þessi	fakfþ
endalausu	endalaus	lkfþvf
fordómum	fordómur	nkfþ
er	vera	sfg3en
að	að	c
þeir	hann	fpkfn
eru	vera	sfg3fn
einfaldlega	einfaldlega	aa
svo	svo	aa
allt	allur	fohen
öðruvísi	öðruvísi	lkfnof
en	en	c
við	ég	fp1fn
hin	hinn	fahfn
.	.	pl

Það	það	fphen
er	vera	sfg3en
eins	eins	aa
og	og	c
við	ég	fp1fn
séum	vera	svg1fn
hrædd	hræddur	lhfnsf
við	við	af
það	sá	faheo
óþekkta	óþekktur	lheovf
.	.	pl

Það	það	fphen
eitt	einn	lhensf
að	að	c
Sjálfstæðisflokkurinn	Sjálfstæðisflokkur	nkengs
hafi	hafa	svg3en
verið	vera	sþghen
svona	svona	aa
lengi	lengi	aa
við	við	af
völd	vald	nhfo
segir	segja	sfg3en
kannski	kannski	aa
allt	allur	foheo
um	um	af
Íslendinga	Íslendingur	nkfo-s
,	,	pk
íhaldsemin	íhaldsemi	nveng
er	vera	sfg3en
að	að	cn
fara	fara	sng
með	með	af
okkur	ég	fp1fo
.	.	pl

3	3	ta
.	.	pl

Tölfræðileg	tölfræðilegur	lhfnsf
líkön	líkan	nhfn
Fjármálatölfræði	fjármálatölfræði	nven
snýst	snúa	sfm3en
öðru	annar	foheþ
fremur	fremur	afm
um	um	af
að	að	cn
meta	meta	sng
verð	verð	nheo
eigna	eign	nvfe
og	og	c
verðbreytingar	verðbreyting	nvee
.	.	pl

Viðfangsefnin	viðfangsefni	nhfng
hafa	hafa	sfg3fn
breyst	breyta	sþmhen
hratt	hratt	aa
á	á	af
undanförnum	undanfarinn	lhfþsf
árum	ár	nhfþ
,	,	pk
rannsóknir	rannsókn	nvfn
á	á	af
hverjum	hver	fokeþ
tíma	tími	nkeþ
eru	vera	sfg3fn
margar	margur	lvfnsf
og	og	c
spanna	spanna	sfg3fn
vítt	víður	lheosf
svið	svið	nheo
.	.	pl

Fyrir	fyrir	af
fáeinum	fáeinir	fokfþ
áratugum	áratugur	nkfþ
snerist	snúa	sfm3eþ
bankastarfsemi	bankastarfsemi	nven
fyrst	fyrr	aae
og	og	c
fremst	fremur	aae
um	um	af
hefðbundna	hefðbundinn	lveosf
lánastarfsemi	lánastarfsemi	nveo
til	til	af
ýmiskonar	ýmiskonar	lvfeof
fjárfestinga	fjárfesting	nvfe
án	án	af
þess	það	fphee
að	að	c
flóknum	flókinn	lhfþsf
líkönum	líkan	nhfþ
væri	vera	svg3eþ
beitt	beita	sþghen
við	við	af
ákvarðanatöku	ákvarðanataka	nveo
.	.	pl

Á	á	af
síðari	síðari	lhfþvm
árum	ár	nhfþ
hafa	hafa	sfg3fn
verðbréfaviðskipti	verðbréfaviðskipti	nhfn
fengið	fá	sþghen
aukið	aukinn	lheosf
vægi	vægi	nheo
og	og	c
ýmsum	ýmis	fohfþ
tölfræðilíkönum	tölfræðilíkan	nhfþ
er	vera	sfg3en
beitt	beita	sþghen
við	við	af
áhættu-	áhættustýring	kt
og	og	c
eignastýringu	eignastýring	nveo
.	.	pl

Þannig	þannig	aa
er	vera	sfg3en
sögulegum	sögulegur	lhfþsf
gögnum	gagn	nhfþ
og	og	c
tölfræðilegum	tölfræðilegur	lhfþsf
spálíkönum	spálíkan	nhfþ
skeytt	skeyta	sþghen
saman	saman	aa
til	til	af
þess	það	fphee
að	að	cn
spá	spá	sng
fyrir	fyrir	aa
um	um	af
verðþróun	verðþróun	nveo
.	.	pl

Tvö	tveir	tfhfn
sérkenni	sérkenni	nhfn
fjármálatímaraða	fjármálatímaröð	nvfe
,	,	pk
flöktklasar	flöktklasi	nkfn
og	og	c
há	hár	lvensf
reisn	reisn	nven
líkindadreifingar	líkindadreifing	nvee
,	,	pk
hafa	hafa	sfg3fn
haft	hafa	sþghen
mikil	mikill	lhfosf
áhrif	áhrif	nhfo
á	á	af
þessa	þessi	faveo
líkanasmíð	líkanasmíð	nveo
.	.	pl

3.1	3.1	ta
Tölfræði	tölfræði	nven
fjármálatímaraða	fjármálatímaröð	nvfe
.	.	pl

Eitt	einn	tfhen
af	af	af
viðfangsefnum	viðfangsefni	nhfþ
fjármálatölfræðinnar	fjármálatölfræði	nveeg
er	vera	sfg3en
að	að	cn
meta	meta	sng
flökt	flökt	nheo
eignaverðs	eignaverð	nhee
,	,	pk
en	en	c
flöktið	flökt	nheng
er	vera	sfg3en
stærð	stærð	nven
sem	sem	ct
ekki	ekki	aa
er	vera	sfg3en
hægt	hægur	lhensf
að	að	cn
mæla	mæla	sng
beint	beint	aa
heldur	heldur	c
þarf	þurfa	sfg3en
að	að	cn
áætla	áætla	sng
það	það	fpheo
með	með	af
óbeinni	óbeinn	lveþsf
mælingu	mæling	nveþ
.	.	pl

Normaldreifingin	normaldreifing	nveng
,	,	pk
sem	sem	ct
hefur	hafa	sfg3en
dugað	duga	sþghen
svo	svo	aa
víða	víða	aa
við	við	af
að	að	cn
lýsa	lýsa	sng
fráviksstærðum	fráviksstærð	nvfþ
,	,	pk
þótti	þykja	sfg3eþ
vænleg	vænlegur	lvensf
til	til	af
þess	það	fphee
að	að	cn
lýsa	lýsa	sng
ávöxtun	ávöxtun	nveþ
eigna	eign	nvfe
og	og	c
var	vera	sfg3eþ
notuð	nota	sþgven
við	við	af
líkanasmíð	líkanasmíð	nveo
.	.	pl

Nú	nú	aa
er	vera	sfg3en
það	það	fphen
þó	þó	aa
vel	vel	aa
þekkt	þekktur	lhensf
að	að	c
líkindadreifing	líkindadreifing	nven
ávöxtunarferlis	ávöxtunarferli	nhee
fylgir	fylgja	sfg3en
jafnan	jafnan	aa
ekki	ekki	aa
normaldreifingu	normaldreifing	nveþ
heldur	heldur	c
dreifingu	dreifing	nveþ
sem	sem	ct
hefur	hafa	sfg3en
umframreisn	umframreisn	nveo
og	og	c
oft	oft	aa
einnig	einnig	aa
skakka	skakki	nkeo
(	(	pa
e.	e.	ks
skewness	skewness	e
)	)	pa
,	,	pk
þ.e.	þ.e.	ks
líkindadreifing	líkindadreifing	nven
ávöxtunar	ávöxtun	nvee
er	vera	sfg3en
ekki	ekki	aa
alltaf	alltaf	aa
samhverf	samhverfur	lvensf
.	.	pl

Líklega	líklega	aa
var	vera	sfg3eþ
það	það	fphen
Mandelbrot	Mandelbrot	n----s
sem	sem	ct
fjallaði	fjalla	sfg3eþ
fyrstur	fyrstur	lkense
um	um	af
flöktklasa	flöktklasi	nkfo
í	í	af
fjármálatímaröðum	fjármálatímaröð	nvfþ
árið	ár	nheog
1963	1963	ta
og	og	c
Eugene	Eugene	n----s
Fama	Fama	n----s
tveim	tveir	tfhfþ
árum	ár	nhfþ
síðar	síðar	aam
.	.	pl

Mandelbrot	Mandelbrot	n----s
bendir	benda	sfg3en
á	á	af
að	að	c
fyrri	fyrri	lvfnvm
rannsóknir	rannsókn	nvfn
sýna	sýna	sfg3fn
fram	fram	aa
á	á	af
að	að	c
ávöxtun	ávöxtun	nven
hlutabréfa	hlutabréf	nhfe
fylgir	fylgja	sfg3en
ekki	ekki	aa
einfaldri	einfaldur	lveþsf
normaldreifingu	normaldreifing	nveþ
heldur	heldur	c
hefur	hafa	sfg3en
mun	munur	nkeþ
hærri	hár	lveovm
reisn	reisn	nveo
.	.	pl

Hann	hann	fpken
fjallar	fjalla	sfg3en
svo	svo	aa
um	um	af
dreifni	dreifni	nveo
ávöxtunar	ávöxtun	nvee
og	og	c
lýsir	lýsa	sfg3en
því	það	fpheþ
hvernig	hvernig	aa
hún	hún	fpven
virðist	virða	sfm3en
vera	vera	sng
háð	háður	lvensf
fyrri	fyrri	lhfþvm
gildum	gildi	nhfþ
.	.	pl

24	24	ta

3.2	3.2	ta
ARCH	ARCH	n----s
ARCH	ARCH	n----s
líkan	líkan	nhen
Engles	Engles	n----s
lýsir	lýsa	sfg3en
ferli	ferli	nheþ
frávika	frávik	nhfe
sem	sem	ct
hendingum	hending	nvfþ
með	með	af
væntigildi	væntigildi	nheþ
núll	núll	nhen
en	en	c
dreifni	dreifni	nveo
háða	háður	lveosf
fyrri	fyrri	lvfþvm
hendingum	hending	nvfþ
.	.	pl

ARCH	ARCH	n----s
er	vera	sfg3en
skammstöfun	skammstöfun	nven
á	á	af
fullu	fullur	lheþsf
heiti	heiti	nheþ
líkansins	líkan	nheeg
«	«	pg
autoregressive	autoregressive	e
conditional	conditional	e
heteroscedasticity	heteroscedasticity	e
model	model	e
»	»	pg
sem	sem	ct
vísar	vísa	sfg3en
til	til	af
eiginleika	eiginleiki	nkfe
ferlisins	ferli	nheeg
.	.	pl

25	25	ta
Hendingar	hending	nvfn
úr	úr	af
ARCH	ARCH	n----s
ferli	ferli	nheþ
eru	vera	sfg3fn
misdreifðar	misdreifður	lvfnsf
(	(	pa
e.	e.	ks
heteroscedastic	heteroscedastic	e
)	)	pa
og	og	c
dreifni	dreifni	nven
þeirra	hún	fpvfe
er	vera	sfg3en
skilyrt	skilyrtur	lhensf
(	(	pa
e.	e.	ks
conditional	conditional	e
)	)	pa
fall	fall	nhen
af	af	af
fyrri	fyrri	lvfþvm
hendingum	hending	nvfþ
(	(	pa
nokkurs	nokkur	fokee
konar	konar	nkee
sjálffylgni	sjálffylgni	nven
(	(	pa
e.	e.	ks
autoregression	autoregression	e
)	)	pa
)	)	pa
.	.	pl

Hefðbundin	hefðbundinn	lvensf
framsetning	framsetning	nven
ARCH	ARCH	n----s
(	(	pa
p	p	nhen
)	)	pa
líkans	líkan	nhee
er	vera	sfg3en
(	(	pa
jafna	jafna	nven
20a	20a	ta
)	)	pa
(	(	pa
jafna	jafna	nven
20b	20b	ta
)	)	pa
þar	þar	aa
sem	sem	c
z	z	nhen
er	vera	sfg3en
IID	IID	n----s
(	(	pa
0,1	0,1	ta
)	)	pa
röð	röð	nven
hendinga	hending	nvfe
(	(	pa
einsdreifðar	einsdreifður	lvfnsf
,	,	pk
óháðar	óháður	lvfnsf
hendingar	hending	nvfn
)	)	pa
.	.	pl

Líkanið	líkan	nheng
reynir	reyna	sfg3en
ekki	ekki	aa
að	að	cn
spá	spá	sng
fyrir	fyrir	aa
um	um	aa
hver	hver	fsven
ávöxtunin	ávöxtun	nveng
verður	verða	sfg3en
í	í	af
framtíðinni	framtíð	nveþg
,	,	pk
heldur	heldur	c
er	vera	sfg3en
gert	gera	sþghen
ráð	ráð	nhen
fyrir	fyrir	af
því	það	fpheþ
að	að	c
ávöxtun	ávöxtun	nven
sé	vera	svg3en
slembið	slembinn	lhensf
ferli	ferli	nhen
með	með	af
væntigildi	væntigildi	nheþ
E	e	x
(	(	pa
st	st	x
)	)	pa
=	=	m
0	0	ta
en	en	c
að	að	c
dreifni	dreifni	nven
hendinganna	hending	nvfeg
fylgi	fylgja	svg3en
einhverri	einhver	foveþ
forskrift	forskrift	nveþ
.	.	pl

ARCH	ARCH	n----s
ferlið	ferli	nheng
hefur	hafa	sfg3en
tímaháða	tímaháður	lveosf
dreifni	dreifni	nveo
o2	o2	x
og	og	c
var	vera	sfg3eþ
strax	strax	aa
mikið	mikið	aa
notað	nota	sþghen
til	til	af
að	að	cn
lýsa	lýsa	sng
fjármálatímaröðum	fjármálatímaröð	nvfþ
.	.	pl

Líkanið	líkan	nheng
fellur	falla	sfg3en
einnig	einnig	aa
vel	vel	aa
að	að	af
hugmyndinni	hugmynd	nveþg
um	um	af
flöktklasa	flöktklasi	nkfo
.	.	pl

26	26	ta

Mynd	mynd	nven
3.1	3.1	ta
-	-	pa
Úrvalsvísitala	úrvalsvísitala	nven
,	,	pk
03.01.02	03.01.02	ta
-	-	m
29.12.06	29.12.06	ta

Ófyrirséð	ófyrirséður	lvensf
breyting	breyting	nven
í	í	af
ávöxtun	ávöxtun	nveþ
á	á	af
tíma	tími	nkeþ
t	t	x
(	(	pa
st	st	x
)	)	pa
hefur	hafa	sfg3en
áhrif	áhrif	nhfo
á	á	af
dreifni	dreifni	nveo
ávöxtunar	ávöxtun	nvee
á	á	af
tíma	tími	nkeþ
t	t	x
+1	+1	ta
(	(	pa
tákn	tákn	nhen
)	)	pa
og	og	c
jafnvel	jafnvel	aa
lengur	lengi	aam
.	.	pl

Stór	stór	lhfnsf
gildi	gildi	nhfn
á	á	af
st	st	x
fylgja	fylgja	sfg3fn
því	því	aa
gjarnan	gjarnan	aa
stórum	stór	lhfþsf
gildum	gildi	nhfþ
og	og	c
flöktklasar	flöktklasi	nkfn
myndast	mynda	sfm3fn
(	(	pa
sjá	sjá	sng
tilvísun	tilvísun	nveo
í	í	af
grein	grein	nveo
Mandelbrots	Mandelbrot	nkee-s
í	í	af
neðanmálsgrein	neðanmálsgrein	nveþ
í	í	af
kafla	kafli	nkeþ
3.1	3.1	ta
á	á	af
bls.	bls.	ks
18	18	ta
)	)	pa
.	.	pl

Mynd	mynd	nven
3.1	3.1	ta
sýnir	sýna	sfg3en
daglega	daglegur	lveosf
ávöxtun	ávöxtun	nveo
Úrvalsvísitölunnar	Úrvalsvísitala	nveegs
á	á	af
árunum	ár	nhfþg
2002	2002	ta
til	til	aa
2006	2006	ta
.	.	pl

Ávöxtun	ávöxtun	nven
er	vera	sfg3en
greinilega	greinilega	aa
misdreifð	misdreifður	lvensf
og	og	c
sem	sem	c
dæmi	dæmi	nheo
um	um	af
flöktklasa	flöktklasi	nkeo
má	mega	sfg3en
benda	benda	sng
á	á	af
fyrri	fyrri	lkeovm
helming	helmingur	nkeo
ársins	ár	nheeg
2006	2006	ta
.	.	pl

Fjöldi	fjöldi	nken
líkana	líkan	nhfe
sem	sem	ct
byggja	byggja	sfg3fn
á	á	af
ARCH	ARCH	n----s
líkaninu	líkan	nheþg
er	vera	sfg3en
til	til	af
marks	mark	nhee
um	um	af
það	það	fpheo
hve	hve	aa
miklu	mikill	lheþsf
máli	mál	nheþ
líkanið	líkan	nheng
skiptir	skipta	sfg3en
fyrir	fyrir	af
fjármálatölfræðina	fjármálatölfræði	nveog
.	.	pl

Þó	þó	aa
er	vera	sfg3en
ekki	ekki	aa
ætlunin	ætlun	nveng
að	að	cn
fara	fara	sng
í	í	af
ítarlegri	ítarlegur	lveovm
umfjöllun	umfjöllun	nveo
um	um	af
þau	það	fphfo
hér	hér	aa
en	en	c
fjöldi	fjöldi	nken
yfirlitsgreina	yfirlitsgrein	nvfe
hefur	hafa	sfg3en
birtst	birta	sþmhen
um	um	af
efnið	efni	nheog
.	.	pl

27	27	ta
Líkanið	líkan	nheng
hefur	hafa	sfg3en
þó	þó	aa
einnig	einnig	aa
verið	vera	sþghen
gagnrýnt	gagnrýna	sþghen
,	,	pk
m.a.	m.a.	ks
fyrir	fyrir	af
að	að	cn
skilyrða	skilyrða	sng
viðfangsefnið	viðfangsefni	nheog
of	of	aa
mikið	mikið	aa
.	.	pl

«	«	pg
The	The	e
assumption	assumption	e
that	that	e
volatility	volatility	e
is	is	e
a	a	e
deterministic	deterministic	e
function	function	e
of	of	e
past	past	e
returns	returns	e
is	is	e
restrictive	restrictive	e
.	.	pl

For	For	e
example	example	e
,	,	pk
conditional	conditional	e
on	on	e
the	the	e
time	time	e
t-1	t-1	ta
shock	shock	e
st-1	st-1	ta
,	,	pk
there	there	e
is	is	e
no	no	e
unpredictable	unpredictable	e
component	component	e
of	of	e
volatility	volatility	e
at	at	e
time	time	e
t	t	e
.	.	pl
»	»	pg

28	28	ta
Ýmsar	ýmis	fovfn
skorður	skorða	nvfn
eru	vera	sfg3fn
settar	setja	sþgvfn
á	á	af
stika	stiki	nkeo
ARCH	ARCH	e
líkansins	líkan	nheeg
.	.	pl

Summa	summa	nven
stikanna	stiki	nkfeg
(	(	pa
jafna	jafna	nven
)	)	pa
skal	skulu	sfg3en
aldrei	aldrei	aa
vera	vera	sng
hærri	hár	lvenvm
en	en	c
1	1	ta
því	það	fpheþ
annars	annars	aa
er	vera	sfg3en
ekki	ekki	aa
tryggt	tryggja	sþghen
að	að	c
Gt2	gt2	x
sé	vera	svg3en
sístætt	sístæður	lhensf
ferli	ferli	nhen
.	.	pl

Til	til	af
að	að	cn
tryggja	tryggja	sng
að	að	c
Gt2	gt2	x
gildið	gildi	nheng
sem	sem	ct
líkanið	líkan	nheng
skilar	skila	sfg3en
sé	vera	svg3en
alltaf	alltaf	aa
jákvætt	jákvæður	lhensf
dugar	duga	sfg3en
skilyrðið	skilyrði	nheng
(	(	pa
jafna	jafna	nven
)	)	pa
að	að	cn
vera	vera	sng
uppfyllt	uppfylla	sþghen
fyrir	fyrir	af
öll	allur	fohfo
p	p	nhfo
stærri	stór	lhfovm
en	en	c
núll	núll	nhen
og	og	c
fyrir	fyrir	af
a0	a0	x
skal	skulu	sfg3en
skilyrðið	skilyrði	nheng
a0	a0	x
>	>	m
0	0	ta
halda	halda	sng
.	.	pl

Þar	þar	aa
sem	sem	c
E	e	x
(	(	pa
zt	zt	x
)	)	pa
=	=	m
0	0	ta
og	og	c
zt	zt	x
er	vera	sfg3en
óháð	óháður	lhensf
Gt	gt	x
þá	þá	aa
fæst	fá	sfm3en
E	e	x
(	(	pa
st	st	x
)	)	pa
=	=	m
E	e	x
(	(	pa
ztct	ztct	x
)	)	pa
=	=	m
0	0	ta
.	.	pl

Fyrir	fyrir	af
ARCH	ARCH	e
(	(	pa
ta	ta	x
)	)	pa
er	vera	sfg3en
Var	vera	x
(	(	pa
st	st	x
)	)	pa
=	=	m
E	e	x
(	(	pa
s2t	s2t	x
)	)	pa
=	=	m
E	e	x
(	(	pa
z2tc2t	z2tc2t	x
)	)	pa
=	=	m
E	e	x
(	(	pa
a0	a0	x
+	+	m
a1	a1	x
*	*	pa
s2t-1	s2t-1	x
)	)	pa
=	=	m
a0	a0	x
+	+	m
a1E	a1e	x
(	(	pa
s2t-1	s2t-1	x
)	)	pa
=	=	m
a0	a0	x
+	+	m
a1Var	a1var	x
(	(	pa
st-1	st-1	x
)	)	pa
.	.	pl

Ef	ef	c
ferlið	ferli	nheng
st	st	x
er	vera	sfg3en
veikt	veikur	lhensf
sístætt	sístæður	lhensf
þá	þá	aa
er	vera	sfg3en
óskilyrt	óskilyrtur	lvensf
dreifni	dreifni	nven
þess	það	fphee
óháð	óháður	lvensf
tíma	tími	nkeþ
og	og	c
því	því	aa
Var	vera	x
(	(	pa
s	s	x
)	)	pa
=	=	m
Var	vera	x
(	(	pa
st-1	st-1	x
)	)	pa
.	.	pl

Þar	þar	aa
sem	sem	c
Var	vera	x
(	(	pa
st	st	x
)	)	pa
=	=	m
a0	a0	x
+	+	m
a1	a1	x
*	*	pa
Var	vera	sfg3eþ
(	(	pa
st-1	st-1	x
)	)	pa
þá	þá	aa
er	vera	sfg3en
óskilyrt	óskilyrtur	lvensf
dreifni	dreifni	nven
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
ferlisins	ferli	nheeg
Var	vera	x
(	(	pa
st	st	x
)	)	pa
=	=	m
a0	a0	x
/	/	pa
(	(	pa
1	1	ta
-	-	pa
a1	a1	x
)	)	pa
.	.	pl

Til	til	af
að	að	c
tryggt	tryggja	sþghen
sé	vera	svg3en
að	að	c
Var	vera	x
(	(	pa
st	st	x
)	)	pa
>	>	pa
0	0	ta
þurfa	þurfa	sfg3fn
skilyrðin	skilyrði	nhfng
(	(	pa
jafna	jafna	nven
)	)	pa
og	og	c
(	(	pa
jafna	jafna	nven
)	)	pa
,	,	pk
sem	sem	ct
nefnd	nefna	sþghfn
voru	vera	sfg3fþ
hér	hér	aa
að	að	aa
ofan	ofan	aa
,	,	pk
að	að	cn
halda	halda	sng
.	.	pl

Innan	innan	af
fjármálatölfræðinnar	fjármálatölfræði	nveeg
er	vera	sfg3en
hefð	hefð	nven
fyrir	fyrir	af
því	það	fpheþ
að	að	cn
nota	nota	sng
orðið	orð	nheog
flökt	flökt	nheo
(	(	pa
e.	e.	ks
volatility	volatility	e
)	)	pa
fyrir	fyrir	af
dreifni	dreifni	nveo
,	,	pk
og	og	c
táknið	tákn	nheog
h	h	nheo
fremur	fremur	aam
en	en	c
c2	c2	ta
.	.	pl

Því	því	aa
má	mega	sfg3en
skrifa	skrifa	sng
jöfnu	jafna	nveo
20a	20a	ta
sem	sem	ct
(	(	pa
jafna	jafna	nven
)	)	pa
.	.	pl

Annað	annar	fohen
vægi	vægi	nhen
ferlisins	ferli	nheeg
h	h	nhee
í	í	af
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
líkani	líkan	nheþ
er	vera	sfg3en
(	(	pa
jafna	jafna	nven
21	21	ta
)	)	pa
.	.	pl

Eins	eins	aa
og	og	c
áður	áður	aa
er	vera	sfg3en
(	(	pa
jafna	jafna	nven
)	)	pa
en	en	c
nú	nú	aa
gerum	gera	sfg1fn
við	ég	fp1fn
enn	enn	aa
fremur	fremur	aam
ráð	ráð	nheo
fyrir	fyrir	af
að	að	c
(	(	pa
jafna	jafna	nven
)	)	pa
eins	eins	aa
og	og	c
um	um	af
normaldreifða	normaldreifður	lveosf
stærð	stærð	nveo
væri	vera	svg3eþ
að	að	cn
ræða	ræða	sng
.	.	pl

Ef	ef	c
ferlið	ferli	nheng
h	h	nhen
er	vera	sfg3en
sístætt	sístæður	lhensf
þá	þá	aa
er	vera	sfg3en
(	(	pa
jafna	jafna	nven
)	)	pa
.	.	pl

Af	af	af
því	það	fpheþ
leiðir	leiða	sfg3en
að	að	cn
(	(	pa
jafna	jafna	nven
22	22	ta
)	)	pa
.	.	pl

Til	til	af
að	að	c
(	(	pa
jafna	jafna	nven
)	)	pa
þarf	þurfa	sfg3en
því	því	aa
skilyrðið	skilyrði	nheng
(	(	pa
jafna	jafna	nven
)	)	pa
einnig	einnig	aa
að	að	cn
halda	halda	sng
.	.	pl

Þetta	þessi	fahen
er	vera	sfg3en
sterkara	sterkur	lhenvm
skilyrði	skilyrði	nhen
fyrir	fyrir	af
a	a	nheo
en	en	c
það	sá	fahen
sem	sem	ct
þurfti	þurfa	sfg3eþ
til	til	af
að	að	cn
tryggja	tryggja	sng
að	að	c
dreifni	dreifni	nven
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
ferlisins	ferli	nheeg
verði	verða	svg3en
endanleg	endanlegur	lvensf
(	(	pa
a	a	x
<	<	m
1	1	ta
)	)	pa
.	.	pl

Nú	nú	aa
fæst	fá	sfm3en
einnig	einnig	aa
óskilyrt	óskilyrtur	lvensf
reisn	reisn	nven
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
ferlisins	ferli	nheeg
(	(	pa
jafna	jafna	nven
23	23	ta
)	)	pa
.	.	pl

Reisn	reisn	nven
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
ferlis	ferli	nhee
er	vera	sfg3en
því	því	aa
alltaf	alltaf	aa
stærri	stór	lvenvm
en	en	c
reisn	reisn	nven
normaldreifingar	normaldreifing	nvee
(	(	pa
reisn	reisn	nven
normaldreifingar	normaldreifing	nvee
er	vera	sfg3en
3	3	ta
)	)	pa
og	og	c
ARCH	ARCH	e
(	(	pa
1	1	ta
)	)	pa
ferli	ferli	nhen
skilar	skila	sfg3en
því	því	aa
fleiri	margur	lhfþvm
útgildum	útgildi	nhfþ
en	en	c
röð	röð	nven
hendinga	hending	nvfe
úr	úr	af
normaldreifingu	normaldreifing	nveþ
.	.	pl

Eins	eins	aa
og	og	c
áður	áður	aa
var	vera	sfg3eþ
bent	benda	sþghen
á	á	aa
fellur	falla	sfg3en
þessi	þessi	faken
eiginleiki	eiginleiki	nken
ARCH	ARCH	e
líkansins	líkan	nheeg
vel	vel	aa
að	að	af
eiginleikum	eiginleiki	nkfþ
fjármálatímaraða	fjármálatímaröð	nvfe
.	.	pl

Á	á	af
Mynd	mynd	nveþ-s
3.2	3.2	ta
sést	sjá	sfm3en
þéttifall	þéttifall	nhen
normaldreifingar	normaldreifing	nvee
(	(	pa
N	n	nhen
(	(	pa
0,1	0,1	ta
)	)	pa
)	)	pa
og	og	c
t-dreifingar	t-dreifing	nvee
(	(	pa
t-dreifing	t-dreifing	nven
með	með	af
þrjár	þrír	tfvfo
frelsisgráður	frelsisgráða	nvfo
)	)	pa
.	.	pl

Sú	sá	faven
síðarnefnda	síðarnefndur	lvenvf
þykir	þykja	sfg3en
lýsa	lýsa	sng
fjármálastærðum	fjármálastærð	nvfþ
betur	vel	aam
en	en	c
normaldreifing	normaldreifing	nven
þar	þar	aa
sem	sem	c
hún	hún	fpven
hefur	hafa	sfg3en
svokallaða	svokallaður	lkfosf
breiða	breiður	lkfosf
hala	hali	nkfo
(	(	pa
e.	e.	ks
fat	fat	e
tailed	tailed	e
distribution	distribution	e
)	)	pa
eins	eins	aa
og	og	c
sést	sjá	sfm3en
á	á	af
myndinni	mynd	nveþg
svo	svo	aa
hendingar	hending	nvfn
með	með	af
hátt	hár	lheosf
tölugildi	tölugildi	nheo
eru	vera	sfg3fn
líklegri	líklegur	lvfnvm
.	.	pl

Þéttiföll	þéttifall	nhfn
normaldreifingar	normaldreifing	nvee
og	og	c
t-drefingar	t-drefing	nvee

Mynd	mynd	nven
3.2	3.2	ta
-	-	pa
Þéttiföll	þéttifall	nhfn
normaldreifingar	normaldreifing	nvee
og	og	c
t-drefingar	t-drefing	nvee

Í	í	af
ritgerð	ritgerð	nveþ
sinni	sinn	feveþ
frá	frá	af
1982	1982	ta
leggur	leggja	sfg3en
Engle	Engle	n----s
til	til	aa
Lagrange	Lagrange	n----s
margfaldarapróf	margfaldarapróf	nheo
til	til	af
að	að	cn
kanna	kanna	sng
tilvist	tilvist	nveo
flöktklasa	flöktklasi	nkfe
í	í	af
tímaröðum	tímaröð	nvfþ
.	.	pl

Núlltilgátan	núlltilgáta	nveng
fyrir	fyrir	af
ARCH	ARCH	e
(	(	pa
p	p	nhen
)	)	pa
líkan	líkan	nheo
er	vera	sfg3en
H0	h0	x
:(	:(	m
jafna	jafna	nven
)	)	pa
,	,	pk
